id,name,municipality,canton,postcode,lat,lon,indoor,access,fee,surface,operator,website,phone,openingHours,osmUrl
way/675066796,Beachvolleyballfeld Campingplatz Sulz,,AG,,47.37598422000001,8.31218764,false,,,sand,,,,,https://www.openstreetmap.org/way/675066796
way/675062214,Beachvolleyballfeld Kantonsschule Wettingen,,AG,,47.45708074,8.31668526,false,,,sand,,,,,https://www.openstreetmap.org/way/675062214
way/675062215,Beachvolleyballfeld Kantonsschule Wettingen,,AG,,47.457003580000006,8.316552820000002,false,,,sand,,,,,https://www.openstreetmap.org/way/675062215
way/675067589,Beachvolleyballfeld Oberlunkhofen,,AG,,47.30979362,8.39177114,false,,,sand,,,,,https://www.openstreetmap.org/way/675067589
way/121039007,Beachvolleyballfeld Schule Zufikon,,AG,,47.34846288,8.355978780000001,false,,,sand,,,,,https://www.openstreetmap.org/way/121039007
way/675066937,Beachvolleyballfeld Schule Zufikon,,AG,,47.34856884,8.355957440000001,false,,,sand,,,,,https://www.openstreetmap.org/way/675066937
way/675067285,Beachvolleyballfeld Schulhaus Falter,,AG,,47.33847288,8.39130444,false,,,sand,,,,,https://www.openstreetmap.org/way/675067285
way/675066736,Beachvolleyballfeld Schulhaus Künten,,AG,,47.38820955999999,8.32745972,false,,,sand,,,,,https://www.openstreetmap.org/way/675066736
way/675066737,Beachvolleyballfeld Schulhaus Künten,,AG,,47.38805076,8.32761942,false,,,sand,,,,,https://www.openstreetmap.org/way/675066737
way/147985492,,,AG,,47.46537291999999,8.31059598,false,,,sand,,,,,https://www.openstreetmap.org/way/147985492
way/147985493,,,AG,,47.465261860000005,8.31094714,false,,,sand,,,,,https://www.openstreetmap.org/way/147985493
way/147985609,,,AG,,47.46562704,8.31037336,false,,,sand,,,,,https://www.openstreetmap.org/way/147985609
way/212719009,,,AG,,47.583498320000004,8.30722576,false,,,,,,,,https://www.openstreetmap.org/way/212719009
way/306742800,,,AG,,47.36835276,8.36857038,false,,,sand,,,,,https://www.openstreetmap.org/way/306742800
way/327096646,,,AG,,47.33307628,8.30278402,false,,,,,,,,https://www.openstreetmap.org/way/327096646
way/355773730,,,AG,,47.354071520000005,8.369029219999998,false,,,sand,,,,,https://www.openstreetmap.org/way/355773730
way/356369483,,,AG,,47.470191060000005,8.314892140000001,false,,,sand,,,,,https://www.openstreetmap.org/way/356369483
way/604239101,,,AG,,47.42017748,8.29993552,false,,,sand,,,,,https://www.openstreetmap.org/way/604239101
way/607623382,,,AG,,47.345887579999996,8.344498300000001,false,,,sand,,,,,https://www.openstreetmap.org/way/607623382
way/675062134,,,AG,,47.4430451,8.372833120000001,false,,,sand,,,,,https://www.openstreetmap.org/way/675062134
way/675062135,,,AG,,47.44298564,8.3729826,false,,,sand,,,,,https://www.openstreetmap.org/way/675062135
way/1069871271,,,AG,,47.461607619999995,8.33357024,false,,,sand,,,,,https://www.openstreetmap.org/way/1069871271
way/1306189168,,,AG,,47.32996614,8.34273742,false,,,sand,,,,,https://www.openstreetmap.org/way/1306189168
way/95033575,,,LU,,47.1150989,8.39414164,false,,,,,,,,https://www.openstreetmap.org/way/95033575
way/257599801,,,LU,,47.154961400000005,8.32372718,false,,,sand,,,,,https://www.openstreetmap.org/way/257599801
